Model,Estación,Producto,Month,RMSE,MAPE
lstm,ES10,95,Jul,0.0128282123810856,0.0333988099785494
lstm,ES10,95,Aug,0.0190760075907102,0.0506079979218732
lstm,ES10,95,Sep,0.0118782404055128,0.0307956480219119
lstm,ES10,95,Oct,0.0178714467638544,0.0425254055925605
lstm,ES10,95,Nov,0.0198925293418022,0.0514346054240579
lstm,ES10,95,Dec,0.0245807656699811,0.0703137319782586
lstm,ES10,95,Jan,0.0199881582194336,0.0570806677559622
lstm,ES10,GOA,Feb,0.0655770107241385,0.1064517304210474
lstm,ES10,GOA,Mar,0.06538683432161,0.2216442722028303
lstm,ES10,GOA,Apr,0.0471449515990138,0.0791423641361469
lstm,ES10,GOA,May,0.1233889524979703,0.2271024219620906
lstm,ES10,GOA,Jun,0.0184934893502368,0.0304266400024613
lstm,ES10,GOA,Jul,0.0361791638745383,0.1130535071260378
lstm,ES10,GOA,Aug,0.0327765183281989,0.0539904009685329
lstm,ES10,GOA,Sep,0.0532032183024247,0.0837266693480284
lstm,ES10,GOA,Oct,0.0720587815772507,0.1129930584122594
lstm,ES10,GOA,Nov,0.0456899566048854,0.0567224677254053
lstm,ES10,GOA,Dec,0.061486289396722,0.3130225706467196
lstm,ES10,GOA,Jan,0.0611314823242783,23907984666351.137
lstm,ES11,95,Feb,0.0250625521290914,0.1263354399903795
lstm,ES11,95,Mar,0.0192179364701017,0.1197316552079957
lstm,ES11,95,Apr,0.0173731310238298,0.0712928360932702
lstm,ES11,95,May,0.0119511001709655,0.0586444773442902
lstm,ES11,95,Jun,0.0131458759876196,0.058580213877346
lstm,ES11,95,Jul,0.0111211884419764,0.0311783967475062
lstm,ES11,95,Aug,0.059272628207012,0.1760063884898119
lstm,ES11,95,Sep,0.0196923198997174,0.0716881353139393
lstm,ES11,95,Oct,0.0141130498871873,0.0610562321414993
lstm,ES11,95,Nov,0.0153024933452298,0.0765187728093207
lstm,ES11,95,Dec,0.0094255083058893,0.0517223757917016
lstm,ES11,95,Jan,0.0103522911862706,0.0689323861852827
lstm,ES11,GOA,Feb,0.0577524305772871,0.0756500750967258
lstm,ES11,GOA,Mar,0.0750611133754211,0.7896725054664325
lstm,ES11,GOA,Apr,0.0528903988499989,0.0764189516313622
lstm,ES11,GOA,May,0.0526071035237551,0.0817434625564477
lstm,ES11,GOA,Jun,0.0581102764734835,0.0952260333142763
lstm,ES11,GOA,Jul,0.0519215461365886,0.4800286384027658
lstm,ES11,GOA,Aug,0.064952783978866,0.0826415347008934
lstm,ES11,GOA,Sep,0.0393311571282647,0.0467775758708834
lstm,ES11,GOA,Oct,0.0385790373579528,0.0730705140883221
lstm,ES11,GOA,Nov,0.0384950464166503,0.0646819378863698
lstm,ES11,GOA,Dec,0.0731405594479133,0.3926874201273873
lstm,ES11,GOA,Jan,0.1224102794781574,1.7613583075484656
lstm,ES12,95,Feb,0.0298379589946613,0.1063937622783231
lstm,ES12,95,Mar,0.0095359277607566,0.0355973145814668
lstm,ES12,95,Apr,0.0306752297025628,0.0993995713186229
lstm,ES12,95,May,0.0353862680802908,0.1368375838131054
lstm,ES12,95,Jun,0.0253891454987824,0.0879811561035235
lstm,ES12,95,Jul,0.012842596064607,0.0432444656996784
lstm,ES12,95,Aug,0.0218862998907993,0.0688372605461121
lstm,ES12,95,Sep,0.0091366080093327,0.0264011740597535
lstm,ES12,95,Oct,0.0194002953158021,0.0707787387176627
lstm,ES12,95,Nov,0.0094062417049457,0.0329516856454582
lstm,ES12,95,Dec,0.0291544712243852,0.1133076625188396
lstm,ES12,95,Jan,0.0263187336799769,0.1052270307493041
lstm,ES12,GOA,Feb,0.0393010633811625,0.0510834537551785
lstm,ES12,GOA,Mar,0.0652576097630076,0.9336461441565488
lstm,ES12,GOA,Apr,0.0707848142565515,0.1002909635165036
lstm,ES12,GOA,May,0.1024033246397174,0.1515678138277897
lstm,ES12,GOA,Jun,0.0525730492941003,0.0655135415254728
lstm,ES12,GOA,Jul,0.0625087364038978,0.3958375553795322
lstm,ES12,GOA,Aug,0.0447920054035877,0.0631529739771974
lstm,ES12,GOA,Sep,0.0254952914547304,0.0355820096662226
lstm,ES12,GOA,Oct,0.0322757764214582,0.044865246263766
lstm,ES12,GOA,Nov,0.022774730349292,0.0328418624984707
lstm,ES12,GOA,Dec,0.0724280708617104,0.2243490419138188
lstm,ES12,GOA,Jan,0.11200576832942,0.4620962091273835
lstm,ES2,95,Feb,0.0177079439094242,0.0843743732625863
lstm,ES2,95,Mar,0.0180082533421681,0.112833030465459
lstm,ES2,95,Apr,0.011771065922641,0.0533272297941094
lstm,ES2,95,May,0.0187026701509759,0.0816620828764501
lstm,ES2,95,Jun,0.0191248429734333,0.0782792309207536
lstm,ES2,95,Jul,0.0077013667875556,0.0299459488852269
lstm,ES2,95,Aug,0.0408752520431418,0.1799312468047926
lstm,ES2,95,Sep,0.0122446511248453,0.0554050673358896
lstm,ES2,95,Oct,0.0170424812014703,0.08772747674908
lstm,ES2,95,Nov,0.0114212951618522,0.059958607487078
lstm,ES2,95,Dec,0.0179980880138313,0.076898825017096
lstm,ES2,95,Jan,0.020384488584362,0.1252738041629229
lstm,ES2,GOA,Feb,0.0380100513583833,0.0622587490156212
lstm,ES2,GOA,Mar,0.0603021690269824,0.4224543590072771
lstm,ES2,GOA,Apr,0.0343327523671506,0.0553416027692309
lstm,ES2,GOA,May,0.0540698848959282,0.0971291395420787
lstm,ES2,GOA,Jun,0.023516157987485,0.0339119792954139
lstm,ES2,GOA,Jul,0.0488633327143153,0.3076024211641169
lstm,ES2,GOA,Aug,0.0252574194164048,0.0393293792084862
lstm,ES2,GOA,Sep,0.0209635534204053,0.0312277561778746
lstm,ES2,GOA,Oct,0.0198312379377695,0.0357877936883258
lstm,ES2,GOA,Nov,0.0331809986443616,0.065288153453314
lstm,ES2,GOA,Dec,0.0666010088160801,0.165692229963881
lstm,ES2,GOA,Jan,0.1063660326369545,0.4456249611955073
lstm,ES3,95,Feb,0.0153418655479883,0.1835231364944931
lstm,ES3,95,Mar,0.0279283448762386,0.3661217062180233
lstm,ES3,95,Apr,0.0226898607647036,0.276409497419849
lstm,ES3,95,May,0.0081782539761931,0.0855027099534967
lstm,ES3,95,Jun,0.0296798420670288,0.2347162747665695
lstm,ES3,95,Jul,0.039077822601002,0.2340627792180661
lstm,ES3,95,Aug,0.0566747997359245,0.3024158911415626
lstm,ES3,95,Sep,0.0317672441288629,0.22084727223345
lstm,ES3,95,Oct,0.0187634114995948,0.1414063942190017
lstm,ES3,95,Nov,0.0176786699203976,0.1501265121058344
lstm,ES3,95,Dec,0.0327691033912547,0.2817701799580481
lstm,ES3,95,Jan,0.0123058712825385,0.1287009857393906
lstm,ES3,GOA,Feb,0.0672017030427074,0.1341346627020708
lstm,ES3,GOA,Mar,0.0478227579801675,0.104600062383088
lstm,ES3,GOA,Apr,0.036318691983957,0.0729992344021166
lstm,ES3,GOA,May,0.0784793160610925,0.1543771185786236
lstm,ES3,GOA,Jun,0.0406783029625196,0.0715209794655322
lstm,ES3,GOA,Jul,0.1038533164348214,0.1453505101793155
lstm,ES3,GOA,Aug,0.1623489183446301,0.2521917066059891
lstm,ES3,GOA,Sep,0.0350539579983311,0.0600473716346138
lstm,ES3,GOA,Oct,0.0390896985471092,0.0735576760446599
lstm,ES3,GOA,Nov,0.0460451975770985,0.0863777286310333
lstm,ES3,GOA,Dec,0.084464739886869,0.1610702475196954
lstm,ES3,GOA,Jan,0.0376916505887621,0.0852209881786192
lstm,ES4,95,Feb,0.0101901715751587,0.067280023308573
lstm,ES4,95,Mar,0.0128749463692103,0.0843365137406797
lstm,ES4,95,Apr,0.0076571824448333,0.0486003649255935
lstm,ES4,95,May,0.014139131584623,0.0922453232790979
lstm,ES4,95,Jun,0.0120266616690825,0.0593957849997631
lstm,ES4,95,Jul,0.0172829046991584,0.1032259622659886
lstm,ES4,95,Aug,0.0178364667288012,0.1038201329038088
lstm,ES4,95,Sep,0.0071497131191069,0.0318873068398999
lstm,ES4,95,Oct,0.0096757406490674,0.0506455256039674
lstm,ES4,95,Nov,0.0077277951034059,0.0355678956919929
lstm,ES4,95,Dec,0.0130385666264161,0.0755987745338479
lstm,ES4,95,Jan,0.0063586114195225,0.0504274432486816
lstm,ES4,GOA,Feb,0.056809241007439,0.1114878463641022
lstm,ES4,GOA,Mar,0.0347720654888117,0.0741596455314547
lstm,ES4,GOA,Apr,0.0425880844738409,0.0736845121947873
lstm,ES4,GOA,May,0.0462413614234281,0.0801531240465769
lstm,ES4,GOA,Jun,0.0658733214610799,0.1293716643859849
lstm,ES4,GOA,Jul,0.0296840857645158,0.0763205614706865
